library_label	sample_id	amplicon_type_id	notes	srx	zzz_legacy_library_id
	308	8			
	308	12			
	309	8			
	309	12			
	310	8			
	310	12			
	311	8			
	311	12			
	312	8			
	312	12			
	313	8			
	313	12			
	314	8			
	314	12			
	315	8			
	315	12			
	316	8			
	316	12			
	317	8			
	317	12			
	318	8			
	318	12			
	319	8			
	319	12			
	320	8			
	320	12			
	321	8			
	321	12			
	322	8			
	322	12			
	323	8			
	323	12			
	324	8			
	324	12			
	325	8			
	325	12			
